Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2026-03-10,Mariposa,5.10-,,https://www.mountainproject.com/route/116668339/mariposa,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Habitado",2.8,-1,Lead,,"Trad, TR",,50,2700
2026-03-10,"Lightning Bolt Crack",5.9,,https://www.mountainproject.com/route/116177998/lightning-bolt-crack,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Habitado",3.1,-1,TR,,Trad,,50,2400
2026-03-10,"Unknown 5.8",5.8+,,https://www.mountainproject.com/route/116668323/unknown-58,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Habitado",2.5,-1,Lead,Onsight,Trad,,40,2200
2026-03-09,"Generic Crack",5.10-,"Not pretty",https://www.mountainproject.com/route/105717328/generic-crack,2,"Utah > Southeast Utah > San Juan County > Indian Creek > Donnelly Canyon",3.4,-1,Lead,Fell/Hung,Trad,,250,2700
2026-03-09,"Chocolate Corner",5.9+,,https://www.mountainproject.com/route/105717349/chocolate-corner,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Donnelly Canyon",3.0,-1,Lead,Onsight,Trad,,50,2500
2026-03-09,"Supercrack of the Desert (aka Luxury Liner)",5.10,,https://www.mountainproject.com/route/105717364/supercrack-of-the-desert-aka-luxury-liner,3,"Utah > Southeast Utah > San Juan County > Indian Creek > Supercrack Buttress",3.8,-1,Follow,,Trad,,,3000
2026-03-09,"Incredible Hand Crack",5.10,,https://www.mountainproject.com/route/105717367/incredible-hand-crack,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Supercrack Buttress",3.8,-1,TR,,Trad,,100,3000
2026-03-08,Spittness,5.10-,,https://www.mountainproject.com/route/107142487/spittness,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Sinbad Wall aka Nuclear Wall",2.5,-1,TR,,Trad,,40,2700
2026-03-08,Manifesto,5.10,,https://www.mountainproject.com/route/106950430/manifesto,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Sinbad Wall aka Nuclear Wall",3.2,-1,TR,,Trad,,70,3000
2026-03-08,"Hot Sex",5.9,,https://www.mountainproject.com/route/106950462/hot-sex,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Sinbad Wall aka Nuclear Wall",2.8,-1,TR,,Trad,,45,2400
2026-03-07,"North Chimney",5.9,"Led pitches 1 and 3",https://www.mountainproject.com/route/105717307/north-chimney,4,"Utah > Southeast Utah > Grand County > Castle Valley > Castleton Tower",3.6,-1,Lead,Fell/Hung,Trad,,400,2400
2026-02-09,"Open Casket",5.9+,,https://www.mountainproject.com/route/105903227/open-casket,1,"Tennessee > The Tennessee Wall > (6) The Amphitheater",3.9,-1,Lead,Fell/Hung,Trad,,98,2500
2026-02-09,"Where Lizards Go to Die",5.10a,,https://www.mountainproject.com/route/105891959/where-lizards-go-to-die,1,"Tennessee > The Tennessee Wall > (5) The Wasteland",3.7,-1,Lead,Onsight,Trad,,100,2600
2026-02-08,"A Nice Place to Come",5.9,,https://www.mountainproject.com/route/106317607/a-nice-place-to-come,1,"Tennessee > The Tennessee Wall > (5) The Wasteland",2.6,-1,TR,,Trad,,90,2400
2026-02-08,"Tribal Babysitter",5.8,,https://www.mountainproject.com/route/106307014/tribal-babysitter,1,"Tennessee > The Tennessee Wall > (5) The Wasteland",2.9,3,Follow,,Trad,,90,2100
2026-02-08,"In Sight of Power",5.8+,,https://www.mountainproject.com/route/105930661/in-sight-of-power,1,"Tennessee > The Tennessee Wall > (5) The Wasteland",3.1,-1,Lead,Onsight,Trad,,90,2200
2026-02-07,Sodomy,5.11c,"Also potential project ",https://www.mountainproject.com/route/114115214/sodomy,1,"Alabama > Little River Canyon > Lizard Wall",3.3,-1,TR,,Sport,,57,5200
2026-02-07,"Bon Voyage",5.11c," New project!",https://www.mountainproject.com/route/112844537/bon-voyage,1,"Alabama > Little River Canyon > Lizard Wall",3.2,-1,TR,,Sport,,,5200
2026-02-07,Lemonade,5.11a,,https://www.mountainproject.com/route/112844518/lemonade,1,"Alabama > Little River Canyon > Lizard Wall",3.0,-1,Lead,Fell/Hung,Sport,,,4600
2026-01-18,"Jay Walker",5.7,,https://www.mountainproject.com/route/105888375/jay-walker,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.0,4,Lead,,Trad,,90,1800
2026-01-18,"Jay Walker",5.7,,https://www.mountainproject.com/route/105888375/jay-walker,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.0,4,Lead,Redpoint,Trad,,90,1800
2026-01-18,"Love Handle",5.10b,,https://www.mountainproject.com/route/105926879/love-handle,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.3,-1,Lead,Fell/Hung,"Trad, Sport",,80,2900
2026-01-18,"Super Slide",5.10b,,https://www.mountainproject.com/route/105894874/super-slide,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.4,-1,TR,,Trad,,100,2900
2026-01-18,Passages,5.8,,https://www.mountainproject.com/route/105894863/passages,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.5,-1,Lead,Pinkpoint,Trad,,90,2100
2026-01-18,"Let's Face It!",5.7+,,https://www.mountainproject.com/route/106075995/lets-face-it,2,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",2.6,-1,Lead,Onsight,Trad,,100,1900
2026-01-08,"Rick Krispie Treat",5.12,"Struggled ",https://www.mountainproject.com/route/106979111/rick-krispie-treat,1,"Arizona > Southern Arizona > Cochise Stronghold > West Stronghold > Sweet Rock",2.1,-1,TR,,Sport,,,7000
2026-01-08,"Peanut Brittle",5.10a,Fun,https://www.mountainproject.com/route/106333961/peanut-brittle,1,"Arizona > Southern Arizona > Cochise Stronghold > West Stronghold > Sweet Rock",2.5,-1,Lead,Onsight,Sport,,90,2600
2026-01-08,"Good and Plenty",5.7,,https://www.mountainproject.com/route/106333948/good-and-plenty,1,"Arizona > Southern Arizona > Cochise Stronghold > West Stronghold > Sweet Rock",2.0,1,Lead,Fell/Hung,Sport,,90,1800
2026-01-06,Ewephoria,5.8,"Led pitches 1, 3, 5. Did 59 TTTD final pitch. Hung on pitch two because scary slab",https://www.mountainproject.com/route/105861181/ewephoria,5,"Arizona > Southern Arizona > Cochise Stronghold > West Stronghold > Sheepshead Area (Southwest) > The Sheepshead",3.2,-1,Lead,Fell/Hung,Trad,,750,2100
2026-01-05,"What's My Line?","5.6 A0 R",,https://www.mountainproject.com/route/105738371/whats-my-line,3,"Arizona > Southern Arizona > Cochise Stronghold > East Stronghold > Cochise Dome (What's My Line Dome)",3.7,-1,Follow,,"Trad, Aid",,400,1600
2026-01-04,Lozen,5.10b,"Led as one pitch",https://www.mountainproject.com/route/125711752/lozen,2,"Arizona > Central Arizona > Queen Creek Canyon > Apache Leap > Hall of Legends, Mid-Leap",3.5,-1,Lead,Onsight,Sport,,208,2900
2026-01-04,Ussen,5.10b/c,"Led pitches 1,3, 5",https://www.mountainproject.com/route/125573345/ussen,6,"Arizona > Central Arizona > Queen Creek Canyon > Apache Leap > Hall of Legends, Mid-Leap",3.3,-1,Lead,Onsight,Sport,,600,3100
2025-12-27,Varmint,5.11b/c,"Bailed at the crux ",https://www.mountainproject.com/route/106404222/varmint,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",3.3,-1,Lead,Fell/Hung,Sport,,70,5100
2025-12-27,"Margin Walker",5.11a/b,"2 takes- burly start but otherwise could probably get clean",https://www.mountainproject.com/route/106404304/margin-walker,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",2.9,-1,Lead,Fell/Hung,Sport,,50,4800
2025-12-27,"Jody's Route (aka The Chris' Route)",5.10c/d,"Took right below the roof",https://www.mountainproject.com/route/105891570/jodys-route-aka-the-chris-route,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",3.6,-1,,,Sport,,70,3400
2025-12-27,"Optimus Prime",5.9+,,https://www.mountainproject.com/route/106300401/optimus-prime,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",3.1,-1,Follow,,Trad,,,2500
2025-12-27,"Free to Think",5.8,,https://www.mountainproject.com/route/105994620/free-to-think,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",2.7,-1,Follow,,Trad,,60,2100
2025-12-21,It,5.10a,,https://www.mountainproject.com/route/106099070/it,1,"Tennessee > Obed & Clear Creek > South Clear Creek > Stephen King Library",2.3,-1,TR,,Sport,,30,2600
